type	delta time	mode	trial	lickPos	result
miniscopeRecord	62.14302	0x22	0	480	
miniscopeRecord	542.1537	0x22	0	0	
start	612.2479	0x22	0	110	0
stay	613.4838	0x22	0	-1	562;777
soundplay	613.4905	0x22	0	6	
lick	625.4832	0x22	0	0	
end	625.4849	0x22	0	-1	1
start	629.0764	0x22	1	20	0
lick	630.3829	0x22	1	0	leave
lick	633.5002	0x22	1	0	
lick	633.7663	0x22	1	0	leave
lick	652.1993	0x22	1	0	
lick	653.0327	0x22	1	0	leave
stay	681.9658	0x22	1	-1	1048;687
soundplay	681.9663	0x22	1	6	
lick	685.8188	0x22	1	0	
end	685.8191	0x22	1	-1	1
start	689.8266	0x22	2	290	0
lick	690.3845	0x22	2	0	leave
stay	694.365	0x22	2	-1	855;157
soundplay	694.3655	0x22	2	6	
lick	696.299	0x22	2	0	
end	696.2992	0x22	2	-1	1
start	699.1845	0x22	3	110	0
lick	702.2316	0x22	3	0	leave
stay	707.4314	0x22	3	-1	669;831
soundplay	707.4318	0x22	3	6	
lick	710.1314	0x22	3	0	
end	710.1317	0x22	3	-1	1
start	713.7602	0x22	4	20	0
lick	713.8477	0x22	4	0	leave
lick	729.7139	0x22	4	0	
lick	730.6302	0x22	4	0	leave
stay	749.3137	0x22	4	-1	1057;645
soundplay	749.3141	0x22	4	6	
lick	751.6962	0x22	4	0	
end	751.6964	0x22	4	-1	1
start	755.6865	0x22	5	200	0
lick	755.7802	0x22	5	0	leave
stay	756.9631	0x22	5	-1	485;265
soundplay	756.9637	0x22	5	6	
lick	759.0626	0x22	5	0	
end	759.0629	0x22	5	-1	1
start	762.7145	0x22	6	110	0
lick	763.8133	0x22	6	0	leave
stay	780.8132	0x22	6	-1	610;747
soundplay	780.814	0x22	6	6	
lick	785.1131	0x22	6	0	
end	785.1133	0x22	6	-1	1
start	787.8829	0x22	7	20	0
lick	789.3629	0x22	7	0	leave
stay	790.7672	0x22	7	-1	1088;606
soundplay	790.7676	0x22	7	6	
lick	793.0793	0x22	7	0	
end	793.0795	0x22	7	-1	1
start	796.4493	0x22	8	200	0
lick	796.8126	0x22	8	0	leave
stay	799.3165	0x22	8	-1	452;380
soundplay	799.3169	0x22	8	6	
lick	800.9628	0x22	8	0	
end	800.9633	0x22	8	-1	1
start	804.3975	0x22	9	290	0
lick	806.7624	0x22	9	0	leave
stay	812.2793	0x22	9	-1	859;228
soundplay	812.2799	0x22	9	6	
lick	813.6456	0x22	9	0	
end	813.6459	0x22	9	-1	1
start	816.2995	0x22	10	290	0
lick	817.979	0x22	10	0	leave
lick	825.8491	0x22	10	0	
lick	826.3951	0x22	10	0	leave
lick	838.348	0x22	10	0	
lick	838.761	0x22	10	0	leave
lick	846.6446	0x22	10	0	
lick	847.3607	0x22	10	0	leave
lick	881.944	0x22	10	0	
lick	883.0104	0x22	10	0	leave
stay	888.4437	0x22	10	-1	818;205
soundplay	888.4443	0x22	10	6	
lick	889.8941	0x22	10	0	
end	889.8944	0x22	10	-1	1
start	892.5822	0x22	11	200	0
lick	897.3771	0x22	11	0	leave
lick	907.96	0x22	11	0	
lick	908.6104	0x22	11	0	leave
lick	918.5592	0x22	11	0	
lick	918.8928	0x22	11	0	leave
stay	921.5463	0x22	11	-1	422;419
soundplay	921.5468	0x22	11	6	
lick	923.5134	0x22	11	0	
end	923.5135	0x22	11	-1	1
start	926.4844	0x22	12	20	0
lick	927.5303	0x22	12	0	leave
stay	937.9598	0x22	12	-1	1032;674
soundplay	937.9603	0x22	12	6	
lick	940.0266	0x22	12	0	
end	940.0268	0x22	12	-1	1
start	943.9137	0x22	13	200	0
stay	947.1455	0x22	13	-1	476;330
soundplay	947.1461	0x22	13	6	
lick	949.1925	0x22	13	0	
end	949.1927	0x22	13	-1	1
start	952.5441	0x22	14	290	0
lick	953.8756	0x22	14	0	leave
lick	958.845	0x22	14	0	
lick	959.1749	0x22	14	0	leave
lick	978.2252	0x22	14	0	
lick	978.5919	0x22	14	0	leave
stay	983.8752	0x22	14	-1	850;236
soundplay	983.8759	0x22	14	6	
lick	985.1919	0x22	14	0	
end	985.1921	0x22	14	-1	1
start	989.2457	0x22	15	200	0
lick	989.8253	0x22	15	0	leave
stay	994.0581	0x22	15	-1	439;400
soundplay	994.0586	0x22	15	6	
lick	995.5747	0x22	15	0	
end	995.575	0x22	15	-1	1
start	998.579	0x22	16	20	0
lick	1000.258	0x22	16	0	leave
stay	1000.578	0x22	16	-1	1040;686
soundplay	1000.579	0x22	16	6	
lick	1002.746	0x22	16	0	
end	1002.747	0x22	16	-1	1
start	1005.348	0x22	17	110	0
lick	1006.444	0x22	17	0	leave
stay	1016.774	0x22	17	-1	614;746
soundplay	1016.775	0x22	17	6	
lick	1018.34	0x22	17	0	
end	1018.341	0x22	17	-1	1
start	1021.485	0x22	18	110	0
lick	1026.224	0x22	18	0	leave
lick	1029.674	0x22	18	0	
lick	1030.291	0x22	18	0	leave
stay	1060.023	0x22	18	-1	579;785
soundplay	1060.024	0x22	18	6	
lick	1061.924	0x22	18	0	
end	1061.924	0x22	18	-1	1
start	1064.543	0x22	19	290	0
lick	1067.573	0x22	19	0	leave
stay	1080.339	0x22	19	-1	848;222
soundplay	1080.34	0x22	19	6	
lick	1081.423	0x22	19	0	
end	1081.423	0x22	19	-1	1
miniscopeRecord	1085.518	0x22	20	480	
start	1085.518	0x22	20	290	0
lick	1087.756	0x22	20	0	leave
lick	1092.339	0x22	20	0	
lick	1092.905	0x22	20	0	leave
stay	1122.122	0x22	20	-1	874;203
soundplay	1122.122	0x22	20	6	
lick	1124.205	0x22	20	0	
end	1124.205	0x22	20	-1	1
start	1127.111	0x22	21	110	0
lick	1129.239	0x22	21	0	leave
lick	1133.422	0x22	21	0	
lick	1135.104	0x22	21	0	leave
stay	1135.972	0x22	21	-1	640;763
soundplay	1135.972	0x22	21	6	
lick	1137.375	0x22	21	0	
end	1137.375	0x22	21	-1	1
start	1140.789	0x22	22	20	0
lick	1142.338	0x22	22	0	leave
stay	1160.653	0x22	22	-1	1074;620
soundplay	1160.654	0x22	22	6	
lick	1162.92	0x22	22	0	
end	1162.92	0x22	22	-1	1
start	1166.704	0x22	23	200	0
lick	1168.021	0x22	23	0	leave
stay	1171.404	0x22	23	-1	471;344
soundplay	1171.405	0x22	23	6	
lick	1172.854	0x22	23	0	
end	1172.854	0x22	23	-1	1
start	1176.256	0x22	24	200	0
lick	1177.204	0x22	24	0	leave
lick	1218.803	0x22	24	0	
lick	1220.686	0x22	24	0	leave
stay	1232.386	0x22	24	-1	460;360
soundplay	1232.387	0x22	24	6	
lick	1234.589	0x22	24	0	
end	1234.589	0x22	24	-1	1
start	1238.175	0x22	25	200	0
lick	1239.802	0x22	25	0	leave
lick	1260.702	0x22	25	0	
lick	1261.752	0x22	25	0	leave
stay	1276.385	0x22	25	-1	522;340
soundplay	1276.386	0x22	25	6	
lick	1278.285	0x22	25	0	
end	1278.285	0x22	25	-1	1
start	1282.122	0x22	26	290	0
lick	1283.004	0x22	26	0	leave
stay	1309.417	0x22	26	-1	912;201
soundplay	1309.417	0x22	26	6	
lick	1311.217	0x22	26	0	
end	1311.217	0x22	26	-1	1
start	1314.169	0x22	27	20	0
lick	1316.184	0x22	27	0	leave
stay	1324.201	0x22	27	-1	1070;534
soundplay	1324.201	0x22	27	6	
lick	1326.389	0x22	27	0	
end	1326.389	0x22	27	-1	1
start	1330.436	0x22	28	290	0
lick	1330.788	0x22	28	0	leave
stay	1360.467	0x22	28	-1	835;176
soundplay	1360.467	0x22	28	6	
lick	1362.517	0x22	28	0	
end	1362.517	0x22	28	-1	1
start	1366.45	0x22	29	20	0
lick	1368.816	0x22	29	0	leave
stay	1375.887	0x22	29	-1	1049;581
soundplay	1375.887	0x22	29	6	
lick	1377.583	0x22	29	0	
end	1377.583	0x22	29	-1	1
start	1380.485	0x22	30	20	0
lick	1382.902	0x22	30	0	leave
stay	1385.699	0x22	30	-1	1043;567
soundplay	1385.7	0x22	30	6	
lick	1387.599	0x22	30	0	
end	1387.599	0x22	30	-1	1
start	1390.974	0x22	31	200	0
lick	1391.965	0x22	31	0	leave
lick	1399.665	0x22	31	0	
lick	1399.982	0x22	31	0	leave
lick	1404.365	0x22	31	0	
lick	1406.165	0x22	31	0	leave
stay	1423.532	0x22	31	-1	463;450
soundplay	1423.532	0x22	31	6	
lick	1425.181	0x22	31	0	
end	1425.181	0x22	31	-1	1
start	1428.365	0x22	32	290	0
lick	1430.182	0x22	32	0	leave
stay	1442.898	0x22	32	-1	849;243
soundplay	1442.899	0x22	32	6	
lick	1444.181	0x22	32	0	
end	1444.181	0x22	32	-1	1
start	1448.268	0x22	33	110	0
lick	1448.482	0x22	33	0	leave
stay	1449.331	0x22	33	-1	542;761
soundplay	1449.331	0x22	33	6	
lick	1451.663	0x22	33	0	
end	1451.663	0x22	33	-1	1
start	1455.164	0x22	34	110	0
lick	1458.38	0x22	34	0	leave
stay	1460.881	0x22	34	-1	596;791
soundplay	1460.881	0x22	34	6	
lick	1462.914	0x22	34	0	
end	1462.914	0x22	34	-1	1
start	1465.919	0x22	35	110	0
lick	1469.213	0x22	35	0	leave
stay	1501.679	0x22	35	-1	654;755
soundplay	1501.68	0x22	35	6	
lick	1504.113	0x22	35	0	
end	1504.113	0x22	35	-1	1
start	1507.947	0x22	36	110	0
lick	1509.017	0x22	36	0	leave
stay	1514.716	0x22	36	-1	672;778
soundplay	1514.717	0x22	36	6	
lick	1516.996	0x22	36	0	
end	1516.996	0x22	36	-1	1
start	1519.797	0x22	37	20	0
lick	1521.662	0x22	37	0	leave
stay	1535.499	0x22	37	-1	1082;623
soundplay	1535.499	0x22	37	6	
lick	1537.645	0x22	37	0	
end	1537.645	0x22	37	-1	1
start	1541.146	0x22	38	110	0
lick	1541.245	0x22	38	0	leave
stay	1558.962	0x22	38	-1	594;782
soundplay	1558.962	0x22	38	6	
lick	1561.461	0x22	38	0	
end	1561.462	0x22	38	-1	1
start	1564.164	0x22	39	290	0
miniscopeRecord	1565.447	0x22	39	0	
lick	1566.361	0x22	39	0	leave
lick	1579.345	0x22	39	0	
lick	1579.677	0x22	39	0	leave
stay	1591.114	0x22	39	-1	898;210
soundplay	1591.115	0x22	39	6	
lick	1592.681	0x22	39	0	
end	1592.682	0x22	39	-1	1
start	1596.083	0x22	40	20	0
lick	1599.747	0x22	40	0	
lick	1601.493	0x22	40	0	leave
stay	1604.411	0x22	40	-1	1076;615
soundplay	1604.411	0x22	40	6	
lick	1606.78	0x22	40	0	
end	1606.78	0x22	40	-1	1
start	1610.566	0x22	41	110	0
lick	1610.776	0x22	41	0	leave
stay	1619.51	0x22	41	-1	637;747
soundplay	1619.511	0x22	41	6	
lick	1621.443	0x22	41	0	
end	1621.443	0x22	41	-1	1
start	1625.379	0x22	42	200	0
lick	1625.893	0x22	42	0	leave
stay	1635.527	0x22	42	-1	422;365
soundplay	1635.528	0x22	42	6	
lick	1637.443	0x22	42	0	
end	1637.444	0x22	42	-1	1
start	1641.446	0x22	43	200	0
stay	1659.66	0x22	43	-1	482;322
soundplay	1659.66	0x22	43	6	
lick	1661.297	0x22	43	0	
end	1661.297	0x22	43	-1	1
start	1664.58	0x22	44	20	0
lick	1665.259	0x22	44	0	leave
stay	1667.326	0x22	44	-1	1070;653
soundplay	1667.326	0x22	44	6	
lick	1669.496	0x22	44	0	
end	1669.497	0x22	44	-1	1
start	1672.715	0x22	45	200	0
lick	1672.892	0x22	45	0	leave
stay	1677.676	0x22	45	-1	499;355
soundplay	1677.676	0x22	45	6	
lick	1679.525	0x22	45	0	
end	1679.526	0x22	45	-1	1
start	1682.481	0x22	46	290	0
lick	1683.342	0x22	46	0	leave
lick	1690.096	0x22	46	0	
lick	1690.642	0x22	46	0	leave
stay	1691.659	0x22	46	-1	938;187
soundplay	1691.659	0x22	46	6	
lick	1693.659	0x22	46	0	
end	1693.659	0x22	46	-1	1
start	1697.078	0x22	47	290	0
stay	1707.025	0x22	47	-1	932;201
soundplay	1707.025	0x22	47	6	
lick	1709.025	0x22	47	0	
end	1709.025	0x22	47	-1	1
start	1712.477	0x22	48	110	0
stay	1715.024	0x22	48	-1	586;757
soundplay	1715.025	0x22	48	6	
lick	1716.491	0x22	48	0	
end	1716.492	0x22	48	-1	1
start	1719.542	0x22	49	290	0
lick	1720.758	0x22	49	0	leave
lick	1725.191	0x22	49	0	
lick	1725.624	0x22	49	0	leave
stay	1759.09	0x22	49	-1	908;176
soundplay	1759.091	0x22	49	6	
lick	1760.957	0x22	49	0	
end	1760.958	0x22	49	-1	1
start	1763.63	0x22	50	200	0
lick	1768.291	0x22	50	0	leave
stay	1812.373	0x22	50	-1	443;400
soundplay	1812.373	0x22	50	6	
lick	1814.039	0x22	50	0	
end	1814.039	0x22	50	-1	1
start	1816.647	0x22	51	110	0
lick	1818.056	0x22	51	0	leave
stay	1820.656	0x22	51	-1	615;748
soundplay	1820.656	0x22	51	6	
lick	1822.422	0x22	51	0	
end	1822.422	0x22	51	-1	1
start	1825.556	0x22	52	290	0
lick	1827.705	0x22	52	0	leave
stay	1843.138	0x22	52	-1	882;178
soundplay	1843.139	0x22	52	6	
lick	1845.038	0x22	52	0	
end	1845.039	0x22	52	-1	1
start	1848.795	0x22	53	20	0
lick	1849.221	0x22	53	0	leave
stay	1887.671	0x22	53	-1	1036;653
soundplay	1887.672	0x22	53	6	
lick	1890.04	0x22	53	0	
end	1890.04	0x22	53	-1	1
start	1893.14	0x22	54	20	0
lick	1893.837	0x22	54	0	leave
stay	1899.921	0x22	54	-1	1055;562
soundplay	1899.921	0x22	54	6	
lick	1902.153	0x22	54	0	
end	1902.153	0x22	54	-1	1
start	1905.425	0x22	55	20	0
lick	1906.421	0x22	55	0	leave
stay	1912.107	0x22	55	-1	1082;621
soundplay	1912.107	0x22	55	6	
lick	1914.603	0x22	55	0	
end	1914.603	0x22	55	-1	1
start	1917.311	0x22	56	200	0
lick	1918.504	0x22	56	0	leave
lick	1918.504	0x22	56	0	leave
stay	1927.208	0x22	56	-1	454;367
soundplay	1927.208	0x22	56	6	
lick	1928.936	0x22	56	0	
end	1928.937	0x22	56	-1	1
start	1931.676	0x22	57	200	0
lick	1933.953	0x22	57	0	leave
lick	1941.985	0x22	57	0	
lick	1942.636	0x22	57	0	leave
stay	1950.236	0x22	57	-1	511;368
soundplay	1950.237	0x22	57	6	
lick	1951.719	0x22	57	0	
end	1951.719	0x22	57	-1	1
start	1954.743	0x22	58	110	0
lick	1955.503	0x22	58	0	leave
lick	1961.485	0x22	58	0	
lick	1962.185	0x22	58	0	leave
stay	1969.023	0x22	58	-1	551;767
soundplay	1969.023	0x22	58	6	
lick	1971.121	0x22	58	0	
end	1971.121	0x22	58	-1	1
start	1975.01	0x22	59	290	0
lick	1975.802	0x22	59	0	leave
stay	1991.452	0x22	59	-1	872;161
soundplay	1991.453	0x22	59	6	
lick	1993.689	0x22	59	0	
end	1993.689	0x22	59	-1	1
start	1997.522	0x22	60	110	0
lick	2003.439	0x22	60	0	leave
lick	2004.234	0x22	60	0	
lick	2005.055	0x22	60	0	leave
stay	2006.734	0x22	60	-1	558;780
soundplay	2006.735	0x22	60	6	
lick	2008.735	0x22	60	0	
end	2008.735	0x22	60	-1	1
start	2011.37	0x22	61	20	0
stay	2015.388	0x22	61	-1	1034;612
soundplay	2015.389	0x22	61	6	
lick	2016.483	0x22	61	0	leave
lick	2018.435	0x22	61	0	
end	2018.435	0x22	61	-1	1
start	2021.672	0x22	62	200	0
lick	2027.434	0x22	62	0	leave
lick	2029.604	0x22	62	0	
lick	2030.684	0x22	62	0	leave
lick	2033.984	0x22	62	0	
lick	2037.734	0x22	62	0	leave
stay	2052.301	0x22	62	-1	434;344
soundplay	2052.301	0x22	62	6	
lick	2054.384	0x22	62	0	
end	2054.384	0x22	62	-1	1
start	2058.139	0x22	63	110	0
lick	2059.651	0x22	63	0	leave
stay	2063.167	0x22	63	-1	561;742
soundplay	2063.167	0x22	63	6	
lick	2065.434	0x22	63	0	
end	2065.434	0x22	63	-1	1
start	2068.435	0x22	64	290	0
lick	2069.615	0x22	64	0	leave
stay	2077.865	0x22	64	-1	896;194
soundplay	2077.866	0x22	64	6	
lick	2080.067	0x22	64	0	
end	2080.067	0x22	64	-1	1
start	2083.085	0x22	65	20	0
lick	2083.866	0x22	65	0	leave
stay	2087.283	0x22	65	-1	1025;552
soundplay	2087.283	0x22	65	6	
lick	2088.865	0x22	65	0	
end	2088.865	0x22	65	-1	1
start	2091.883	0x22	66	20	0
lick	2093.415	0x22	66	0	leave
stay	2107.565	0x22	66	-1	1086;593
soundplay	2107.566	0x22	66	6	
lick	2109.682	0x22	66	0	
end	2109.682	0x22	66	-1	1
start	2113.354	0x22	67	200	0
lick	2113.886	0x22	67	0	leave
stay	2122.965	0x22	67	-1	488;403
soundplay	2122.965	0x22	67	6	
lick	2124.365	0x22	67	0	
end	2124.365	0x22	67	-1	1
start	2127.052	0x22	68	290	0
lick	2128.632	0x22	68	0	leave
stay	2138.281	0x22	68	-1	936;185
soundplay	2138.282	0x22	68	6	
lick	2140.998	0x22	68	0	
end	2140.998	0x22	68	-1	1
start	2144.104	0x22	69	200	0
lick	2145.764	0x22	69	0	leave
stay	2162.031	0x22	69	-1	464;312
soundplay	2162.031	0x22	69	6	
lick	2164.064	0x22	69	0	
end	2164.064	0x22	69	-1	1
miniscopeRecord	2167.855	0x22	70	480	
start	2167.855	0x22	70	290	0
lick	2168.53	0x22	70	0	leave
stay	2169.531	0x22	70	-1	827;163
soundplay	2169.532	0x22	70	6	
lick	2171.681	0x22	70	0	
end	2171.681	0x22	70	-1	1
start	2175.066	0x22	71	110	0
lick	2177.068	0x22	71	0	leave
stay	2181.514	0x22	71	-1	576;756
soundplay	2181.514	0x22	71	6	
lick	2183.214	0x22	71	0	
end	2183.214	0x22	71	-1	1
start	2186.883	0x22	72	290	0
lick	2187.464	0x22	72	0	leave
stay	2189.963	0x22	72	-1	912;191
soundplay	2189.964	0x22	72	6	
lick	2191.863	0x22	72	0	
end	2191.864	0x22	72	-1	1
start	2194.852	0x22	73	20	0
lick	2198.116	0x22	73	0	leave
lick	2207.713	0x22	73	0	
lick	2208.262	0x22	73	0	leave
stay	2225.979	0x22	73	-1	1044;658
soundplay	2225.98	0x22	73	6	
lick	2228.179	0x22	73	0	
end	2228.18	0x22	73	-1	1
start	2230.969	0x22	74	200	0
lick	2232.596	0x22	74	0	leave
stay	2234.846	0x22	74	-1	479;377
soundplay	2234.847	0x22	74	6	
lick	2236.246	0x22	74	0	
end	2236.246	0x22	74	-1	1
start	2238.898	0x22	75	200	0
lick	2240.479	0x22	75	0	leave
lick	2278.795	0x22	75	0	
lick	2279.845	0x22	75	0	leave
stay	2286.162	0x22	75	-1	466;339
soundplay	2286.162	0x22	75	6	
lick	2287.995	0x22	75	0	
end	2287.995	0x22	75	-1	1
start	2291.331	0x22	76	110	0
lick	2292.645	0x22	76	0	leave
lick	2328.076	0x22	76	0	
lick	2328.643	0x22	76	0	leave
stay	2332.993	0x22	76	-1	601;781
soundplay	2332.994	0x22	76	6	
lick	2335.143	0x22	76	0	
end	2335.144	0x22	76	-1	1
start	2337.762	0x22	77	20	0
lick	2338.493	0x22	77	0	leave
stay	2341.647	0x22	77	-1	1022;687
soundplay	2341.647	0x22	77	6	
lick	2343.893	0x22	77	0	
end	2343.894	0x22	77	-1	1
start	2347.812	0x22	78	290	0
lick	2348.343	0x22	78	0	leave
stay	2356.076	0x22	78	-1	909;174
soundplay	2356.077	0x22	78	6	
lick	2357.959	0x22	78	0	
end	2357.96	0x22	78	-1	1
start	2360.566	0x22	79	290	0
lick	2362.76	0x22	79	0	leave
stay	2393.492	0x22	79	-1	953;218
soundplay	2393.493	0x22	79	6	
lick	2395.575	0x22	79	0	
end	2395.575	0x22	79	-1	1
start	2398.814	0x22	80	110	0
lick	2399.729	0x22	80	0	leave
lick	2402.941	0x22	80	0	
lick	2403.326	0x22	80	0	leave
stay	2437.763	0x22	80	-1	557;751
soundplay	2437.763	0x22	80	6	
lick	2439.791	0x22	80	0	
end	2439.791	0x22	80	-1	1
start	2443.661	0x22	81	20	0
lick	2443.908	0x22	81	0	leave
stay	2452.157	0x22	81	-1	1038;649
soundplay	2452.158	0x22	81	6	
lick	2454.724	0x22	81	0	
end	2454.724	0x22	81	-1	1
start	2458.529	0x22	82	200	0
lick	2458.756	0x22	82	0	leave
stay	2461.827	0x22	82	-1	465;377
soundplay	2461.828	0x22	82	6	
lick	2464.291	0x22	82	0	
end	2464.291	0x22	82	-1	1
start	2468.046	0x22	83	110	0
lick	2468.29	0x22	83	0	leave
stay	2483.424	0x22	83	-1	556;749
soundplay	2483.424	0x22	83	6	
lick	2485.339	0x22	83	0	
end	2485.339	0x22	83	-1	1
start	2488.708	0x22	84	110	0
lick	2490.823	0x22	84	0	leave
stay	2501.44	0x22	84	-1	602;790
soundplay	2501.44	0x22	84	6	
lick	2503.443	0x22	84	0	
end	2503.443	0x22	84	-1	1
start	2506.411	0x22	85	20	0
lick	2507.906	0x22	85	0	leave
stay	2513.96	0x22	85	-1	1027;673
soundplay	2513.96	0x22	85	6	
lick	2516.273	0x22	85	0	
end	2516.273	0x22	85	-1	1
start	2519.01	0x22	86	110	0
lick	2520.556	0x22	86	0	leave
stay	2521.606	0x22	86	-1	636;809
soundplay	2521.607	0x22	86	6	
lick	2523.806	0x22	86	0	
end	2523.806	0x22	86	-1	1
start	2526.993	0x22	87	200	0
lick	2528.206	0x22	87	0	leave
stay	2536.138	0x22	87	-1	441;372
soundplay	2536.139	0x22	87	6	
lick	2538.572	0x22	87	0	
end	2538.573	0x22	87	-1	1
start	2541.517	0x22	88	290	0
lick	2543.239	0x22	88	0	leave
stay	2548.359	0x22	88	-1	813;231
soundplay	2548.36	0x22	88	6	
lick	2550.238	0x22	88	0	
end	2550.239	0x22	88	-1	1
start	2553.598	0x22	89	20	0
lick	2555.406	0x22	89	0	leave
stay	2565.222	0x22	89	-1	1015;619
soundplay	2565.222	0x22	89	6	
lick	2567.672	0x22	89	0	
end	2567.672	0x22	89	-1	1
start	2571.212	0x22	90	110	0
stay	2575.205	0x22	90	-1	639;806
soundplay	2575.205	0x22	90	6	
lick	2577.476	0x22	90	0	
end	2577.476	0x22	90	-1	1
start	2580.71	0x22	91	20	0
lick	2581.604	0x22	91	0	leave
