Time Stamp (ms),qw,qx,qy,qz
-14,0.78064,0.501648,0.074707,-0.365112
49,0.796997,0.463806,0.0778198,-0.378967
72,0.788147,0.48053,0.0872192,-0.374634
109,0.792908,0.474609,0.0983276,-0.369263
148,0.78064,0.481018,0.113647,-0.382507
192,0.76239,0.503052,0.0877686,-0.3974
229,0.753174,0.503723,0.0673218,-0.417725
272,0.76825,0.497437,0.079895,-0.394958
311,0.802979,0.448669,0.0726318,-0.38562
353,0.786133,0.467651,0.0709229,-0.397827
392,0.775696,0.473999,0.111145,-0.40155
434,0.674377,0.533081,0.158875,-0.485657
474,0.658569,0.558777,0.125671,-0.488098
514,0.690186,0.507629,0.086731,-0.508362
556,0.685242,0.502686,0.0332642,-0.526001
596,0.702393,0.496338,0.0166016,-0.509888
636,0.730286,0.480957,0.0211792,-0.484741
677,0.742798,0.488037,0.0307617,-0.457275
717,0.763672,0.468872,0.0457764,-0.441467
759,0.756775,0.479309,0.0464478,-0.442017
800,0.745605,0.479065,0.0595093,-0.459351
839,0.684265,0.547607,0.0512085,-0.47876
880,0.701538,0.525269,0.0661621,-0.477051
922,0.729187,0.492737,0.043457,-0.472839
961,0.740417,0.489258,0.00384521,-0.460876
1003,0.796326,0.413757,-0.000549316,-0.441162
1045,0.801941,0.376709,0.0212402,-0.463196
1082,0.803345,0.385071,0.0363159,-0.452881
1124,0.828857,0.326233,0.0194092,-0.454102
1164,0.812073,0.348206,-0.0370483,-0.466797
1205,0.833496,0.320313,-0.0598145,-0.446167
1245,0.847046,0.291687,-0.0858154,-0.436035
1285,0.869995,0.296204,-0.123596,-0.374207
1326,0.880249,0.30896,-0.123169,-0.33844
1367,0.895752,0.333618,-0.147644,-0.253967
1409,0.932373,0.266113,-0.126953,-0.209106
1448,0.954224,0.19281,-0.128357,-0.189331
1490,0.959595,0.199707,-0.132202,-0.147583
1529,0.966858,0.176025,-0.136841,-0.124451
1571,0.972229,0.129028,-0.160278,-0.111389
1611,0.971497,0.088623,-0.207214,-0.0732422
1651,0.967102,0.0984497,-0.224792,-0.0666504
1693,0.960571,0.101685,-0.238525,-0.10022
1731,0.961548,0.041748,-0.262756,-0.0679932
1774,0.943909,0.0986328,-0.268616,-0.164856
1813,0.893921,0.20575,-0.233459,-0.322632
1856,0.864746,0.286499,-0.183716,-0.369263
1893,0.835876,0.35498,-0.140625,-0.394348
1935,0.808228,0.400757,-0.144714,-0.406372
1976,0.808899,0.364563,-0.197083,-0.417053
2016,0.789429,0.314697,-0.186951,-0.492798
2058,0.732727,0.319946,-0.149658,-0.581726
2098,0.732666,0.36438,-0.119446,-0.562317
2138,0.709961,0.347595,-0.083374,-0.60675
2178,0.671265,0.36499,-0.0818481,-0.639954
2221,0.654846,0.387512,-0.0940552,-0.642029
2261,0.643555,0.41748,-0.0767212,-0.636902
2301,0.604004,0.463562,-0.0700073,-0.644531
2342,0.618164,0.455872,-0.0735474,-0.636108
2382,0.600586,0.445923,-0.106995,-0.654968
2423,0.643433,0.405518,-0.138733,-0.634277
2462,0.648193,0.367188,-0.164734,-0.646423
2503,0.64856,0.324646,-0.146057,-0.672729
2543,0.677856,0.248047,-0.12854,-0.680054
2585,0.689636,0.219177,-0.118347,-0.679993
2626,0.704956,0.254211,-0.111694,-0.652649
2666,0.698364,0.223938,-0.131836,-0.666931
2707,0.673706,0.268677,-0.189697,-0.661804
2747,0.698486,0.236145,-0.164124,-0.655273
2787,0.712524,0.199646,-0.166748,-0.651672
2828,0.705261,0.260681,-0.161804,-0.639099
2869,0.702148,0.27356,-0.130188,-0.644409
2910,0.686768,0.329895,-0.184265,-0.620972
2950,0.720093,0.289368,-0.166016,-0.608459
2991,0.783081,0.228516,-0.203186,-0.541565
3029,0.813232,0.16333,-0.221008,-0.512939
3072,0.808105,0.153015,-0.268799,-0.501221
3112,0.819458,0.16571,-0.263672,-0.48114
3153,0.803467,0.131592,-0.293274,-0.501099
3193,0.815796,0.148132,-0.292297,-0.476563
3233,0.854492,0.129944,-0.285828,-0.413818
3274,0.88208,0.0789185,-0.302368,-0.352478
3314,0.890442,0.0455322,-0.310547,-0.329468
3357,0.912048,-0.000305176,-0.294922,-0.284973
3396,0.915161,-0.0285034,-0.278931,-0.289551
3438,0.895447,-0.0567627,-0.279419,-0.341858
3476,0.911377,-0.0765381,-0.267273,-0.303589
3517,0.919678,-0.133118,-0.243774,-0.277527
3558,0.925537,-0.139526,-0.239075,-0.258362
3598,0.919861,-0.160339,-0.24469,-0.261414
3640,0.903687,-0.217285,-0.266052,-0.255676
3680,0.916565,-0.188049,-0.259216,-0.239563
3720,0.938782,-0.120911,-0.21698,-0.238708
3762,0.94165,-0.0523071,-0.20929,-0.258362
3802,0.948792,-0.0274658,-0.218262,-0.226807
3843,0.949463,0.0296021,-0.208435,-0.232849
3882,0.94696,0.0397949,-0.218628,-0.232056
3924,0.936951,0.0140381,-0.255798,-0.237732
3965,0.928955,-0.0135498,-0.282043,-0.239502
4006,0.918945,-0.0302734,-0.302429,-0.251282
4046,0.901367,-0.022522,-0.325134,-0.285217
4085,0.898621,-0.00469971,-0.330627,-0.288269
4129,0.901489,-0.00469971,-0.336853,-0.271667
4167,0.898682,-0.0567627,-0.354431,-0.252014
4208,0.89563,-0.0584717,-0.358459,-0.256775
4247,0.905334,-0.0899658,-0.346252,-0.228882
4289,0.906799,-0.0990601,-0.33606,-0.234497
4329,0.911987,-0.109558,-0.316833,-0.23645
4372,0.913147,-0.115967,-0.316467,-0.229187
4410,0.896851,-0.102417,-0.3255,-0.281311
4452,0.878235,-0.0700073,-0.335022,-0.333984
4493,0.872925,-0.0457764,-0.340088,-0.346863
4531,0.885193,-0.0657349,-0.329224,-0.322144
4573,0.869629,-0.126038,-0.355591,-0.318542
4613,0.862366,-0.156494,-0.366089,-0.312744
4656,0.869934,-0.177185,-0.365662,-0.279541
4696,0.873718,-0.218811,-0.357727,-0.24646
4736,0.882507,-0.303833,-0.313232,-0.175354
4777,0.8479,-0.350952,-0.358154,-0.171997
4816,0.830688,-0.33429,-0.38446,-0.224426
4858,0.794922,-0.236633,-0.444031,-0.338989
4898,0.704224,-0.0701294,-0.463135,-0.533569
4939,0.628479,0.0728149,-0.46051,-0.62262
4979,0.5495,0.17218,-0.437256,-0.690796
5019,0.44342,0.272217,-0.37915,-0.765198
5062,0.346863,0.364685,-0.299744,-0.810486
5103,0.317932,0.408875,-0.264648,-0.813477
5143,0.30835,0.377075,-0.248047,-0.837402
5180,0.286743,0.326965,-0.255127,-0.863586
5225,0.266174,0.339844,-0.313293,-0.845886
5264,0.228271,0.354614,-0.32782,-0.845398
5305,0.164856,0.422729,-0.34613,-0.821167
5345,0.0903931,0.489014,-0.38739,-0.776306
5387,0.0258179,0.511475,-0.412231,-0.753479
5426,0.0332642,0.497009,-0.393555,-0.772644
5466,0.019165,0.490723,-0.401428,-0.773071
